,pos,g123
0,185756.747,0.4806000000000001
1,218856.211,0.3724
2,232126.84,0.6921999999999999
3,244195.418,0.49599999999999994
4,252514.115,0.6594000000000001
5,261151.719,0.6430000000000001
6,271265.402,0.6152000000000001
7,280790.205,0.4704000000000001
8,289164.448,0.45500000000000007
9,298160.99,0.6924
10,309338.294,0.44179999999999986
11,372700.109,0.7074000000000001
12,383988.079,0.41080000000000005
13,391934.996,0.49580000000000013
14,399140.053,0.597
15,408148.354,0.33359999999999995
16,415532.89,0.4679999999999999
17,424607.954,0.4345999999999999
18,433795.699,0.35719999999999996
19,444965.502,0.39500000000000013
20,456466.996,0.2556
21,471194.127,0.18400000000000002
22,482582.806,0.17960000000000004
23,493084.211,0.0456
24,500033.751,0.2212
25,508711.192,0.15159999999999998
26,515446.917,0.2292
27,523081.996,0.1648
28,531289.947,0.2112
29,538580.315,0.2044
30,544722.446,0.12760000000000002
31,553037.603,0.17300000000000004
32,559902.604,0.1194
33,565136.601,0.11460000000000001
34,569915.268,0.029200000000000004
35,576186.278,0.09020000000000002
36,582826.184,0.12980000000000003
37,589405.332,0.0738
38,595132.888,0.13960000000000003
39,602821.694,0.083
40,607136.703,0.07100000000000001
41,611219.52,0.0302
42,615464.764,0.03480000000000001
43,619795.312,0.1522
44,624987.177,0.06960000000000001
45,629813.327,0.0868
46,635016.856,0.06639999999999999
47,640138.284,0.14579999999999999
48,645620.265,0.14479999999999998
49,651351.638,0.0514
50,656619.95,0.06720000000000001
51,661686.798,0.0364
52,666646.568,0.0664
53,671130.506,0.18700000000000003
54,675295.993,0.0996
55,679546.181,0.15039999999999998
56,684083.702,0.21880000000000002
57,688021.014,0.1652
58,692707.153,0.3480000000000001
59,697548.787,0.29100000000000004
60,703958.161,0.19739999999999996
61,755526.67,0.1572
62,788635.083,0.046
63,792405.349,0.054400000000000004
64,796152.325,0.0854
65,800636.235,0.05720000000000001
66,805496.413,0.0774
67,809960.268,0.0416
68,813875.856,0.0612
69,817570.159,0.055400000000000005
70,821366.437,0.0952
71,825652.134,0.1556
72,830088.388,0.1172
73,833967.155,0.16199999999999998
74,837682.173,0.18620000000000003
75,841404.356,0.16499999999999998
76,847139.596,0.2604000000000001
77,853208.072,0.11320000000000004
78,858055.749,0.10040000000000002
79,863976.761,0.05099999999999999
80,870194.335,0.12739999999999999
81,874786.525,0.084
82,880001.629,0.0816
83,885293.287,0.03960000000000001
84,890025.18,0.1372
85,894133.534,0.2288
86,898093.888,0.2706
87,902303.619,0.22239999999999996
88,908859.066,0.16860000000000003
89,914085.688,0.1726
90,918239.97,0.0766
91,922608.38,0.0408
92,926604.446,0.30160000000000003
93,931147.557,0.12159999999999997
94,934983.692,0.05600000000000001
95,939081.71,0.0478
96,943040.665,0.0788
97,946716.856,0.07239999999999999
98,950547.168,0.0412
99,954629.654,0.046599999999999996
100,958112.149,0.061599999999999995
101,961945.537,0.043800000000000006
102,966170.477,0.05779999999999999
103,970594.312,0.042600000000000006
104,974771.609,0.06240000000000001
105,978848.66,0.16360000000000002
106,982865.213,0.0926
107,986756.549,0.06699999999999999
108,990656.096,0.049600000000000005
109,994850.616,0.036199999999999996
110,998831.818,0.0492
111,1003074.225,0.0592
112,1006918.158,0.0818
113,1010749.33,0.08360000000000001
114,1015447.575,0.1116
115,1019963.526,0.11140000000000003
116,1024228.736,0.13839999999999997
117,1028024.105,0.039599999999999996
118,1031674.327,0.0366
119,1034821.644,0.09999999999999999
120,1038042.157,0.1232
121,1041940.746,0.17420000000000002
122,1046690.09,0.18280000000000002
123,1050357.308,0.0512
124,1054060.038,0.023399999999999997
125,1057945.805,0.1084
126,1062307.155,0.1642
127,1065678.002,0.1116
128,1069552.509,0.0794
